,N0 [atoms/b-cm],ZAID,XS [barns],MT,T chamber [Kelvin],P chamber [Pa],Theta,Xe Conc [atoms/b-cm]
233,0.0,892250,87.5513033732704,102,468.0,489500.0,60.0,0.0
234,0.0,892260,32.16185849762744,102,468.0,489500.0,60.0,0.0
235,0.0,892270,99.36791535688043,102,468.0,489500.0,60.0,0.0
236,0.0,902270,121.26102003599317,102,468.0,489500.0,60.0,0.0
237,0.0,902280,23.887788819075137,102,468.0,489500.0,60.0,0.0
238,0.0,902290,22.293982928150648,102,468.0,489500.0,60.0,0.0
239,0.0,902300,13.295312727510494,102,468.0,489500.0,60.0,0.0
240,0.0,902320,1.7001983194674504,102,468.0,489500.0,60.0,0.0
241,0.0,902340,1.4472260859352621,102,468.0,489500.0,60.0,0.0
242,0.0,912310,33.091840544318934,102,468.0,489500.0,60.0,0.0
243,0.0,912320,46.69774256379758,102,468.0,489500.0,60.0,0.0
244,0.0,912330,14.110078313800704,102,468.0,489500.0,60.0,0.0
245,0.0,922320,6.93825078991942,102,468.0,489500.0,60.0,0.0
246,0.0,922330,5.163136465196219,102,468.0,489500.0,60.0,0.0
247,0.0,922340,14.720461901411081,102,468.0,489500.0,60.0,0.0
248,0.000184383,922350,8.090360896030788,102,468.0,489500.0,60.0,0.0
249,0.0,922360,4.847487189543298,102,468.0,489500.0,60.0,0.0
250,0.0,922370,34.41994456303787,102,468.0,489500.0,60.0,0.0
251,0.00073974,922380,0.9420767372560497,102,468.0,489500.0,60.0,0.0
252,0.0,922390,6.86304967494053,102,468.0,489500.0,60.0,0.0
253,0.0,922400,18.820143111479208,102,468.0,489500.0,60.0,0.0
254,0.0,922410,34.71144641282553,102,468.0,489500.0,60.0,0.0
255,0.0,932350,22.788495673969088,102,468.0,489500.0,60.0,0.0
256,0.0,932360,11.60920305443812,102,468.0,489500.0,60.0,0.0
257,0.0,932370,22.38213535052869,102,468.0,489500.0,60.0,0.0
258,0.0,932380,32.514729713050954,102,468.0,489500.0,60.0,0.0
259,0.0,932390,11.324822325109288,102,468.0,489500.0,60.0,0.0
260,0.0,942360,5.632400561630528,102,468.0,489500.0,60.0,0.0
261,0.0,942370,38.298209306539796,102,468.0,489500.0,60.0,0.0
262,0.0,942380,34.37202657361165,102,468.0,489500.0,60.0,0.0
263,0.0,942390,38.636602283200276,102,468.0,489500.0,60.0,0.0
264,0.0,942400,132.41008593214852,102,468.0,489500.0,60.0,0.0
265,0.0,942410,31.479626525350902,102,468.0,489500.0,60.0,0.0
266,0.0,942420,18.866544600899207,102,468.0,489500.0,60.0,0.0
267,0.0,942430,9.278436558292753,102,468.0,489500.0,60.0,0.0
268,0.0,942440,1.4835644260022667,102,468.0,489500.0,60.0,0.0
269,0.0,942460,62.24275519036529,102,468.0,489500.0,60.0,0.0
270,0.0,952410,75.22349937105352,102,468.0,489500.0,60.0,0.0
271,0.0,952420,19.288320132203307,102,468.0,489500.0,60.0,0.0
272,0.0,952430,29.951596203280484,102,468.0,489500.0,60.0,0.0
273,0.0,952440,46.11378600376123,102,468.0,489500.0,60.0,0.0
274,0.0,953420,0.0,102,468.0,489500.0,60.0,0.0
275,0.0,953440,0.0,102,468.0,489500.0,60.0,0.0
276,0.0,962400,19.859073593588484,102,468.0,489500.0,60.0,0.0
277,0.0,962410,18.074292220367905,102,468.0,489500.0,60.0,0.0
278,0.0,962420,2.6807170694207465,102,468.0,489500.0,60.0,0.0
279,0.0,962430,11.083794921412824,102,468.0,489500.0,60.0,0.0
280,0.0,962440,10.104643616193192,102,468.0,489500.0,60.0,0.0
281,0.0,962450,20.983988200714883,102,468.0,489500.0,60.0,0.0
282,0.0,962460,1.7265842104355298,102,468.0,489500.0,60.0,0.0
283,0.0,962470,11.536189976710299,102,468.0,489500.0,60.0,0.0
284,0.0,962480,3.52392476999863,102,468.0,489500.0,60.0,0.0
285,0.0,962490,0.9615992878270833,102,468.0,489500.0,60.0,0.0
286,0.0,962500,9.556602495236197,102,468.0,489500.0,60.0,0.0
287,0.0,972490,177.15297345036305,102,468.0,489500.0,60.0,0.0
288,0.0,982490,38.68443345808476,102,468.0,489500.0,60.0,0.0
289,0.0,982510,207.8696137708144,102,468.0,489500.0,60.0,0.0
290,0.0,10010,0.0,107,468.0,489500.0,60.0,0.0
291,0.0,10020,0.0,107,468.0,489500.0,60.0,0.0
292,0.0,20030,0.0,107,468.0,489500.0,60.0,0.0
293,0.0,280600,0.00022823165207483715,107,468.0,489500.0,60.0,0.0
294,0.0,280610,0.0003492030667990983,107,468.0,489500.0,60.0,0.0
295,0.0,280620,7.094385715442194e-06,107,468.0,489500.0,60.0,0.0
296,0.0,280640,1.504993655113148e-06,107,468.0,489500.0,60.0,0.0
297,0.0,290630,7.128919322045509e-05,107,468.0,489500.0,60.0,0.0
298,0.0,290650,1.830395626019703e-06,107,468.0,489500.0,60.0,0.0
299,0.0,30060,0.0,107,468.0,489500.0,60.0,0.0
300,0.0,300640,5.8105597773155825e-05,107,468.0,489500.0,60.0,0.0
301,0.0,30070,0.0,107,468.0,489500.0,60.0,0.0
302,0.0,310690,5.9399253387592936e-05,107,468.0,489500.0,60.0,0.0
303,0.0,310710,1.8887478815089734e-06,107,468.0,489500.0,60.0,0.0
304,0.0,320700,0.00048125652575566985,107,468.0,489500.0,60.0,0.0
305,0.0,320720,1.2777205491138706e-05,107,468.0,489500.0,60.0,0.0
306,0.0,320730,1.7172322406685517e-05,107,468.0,489500.0,60.0,0.0
307,0.0,320740,7.964861553933718e-07,107,468.0,489500.0,60.0,0.0
308,0.0,320760,2.13595508263485e-08,107,468.0,489500.0,60.0,0.0
309,0.0,330740,0.0,107,468.0,489500.0,60.0,0.0
310,0.0,330750,0.0,107,468.0,489500.0,60.0,0.0
311,0.0,340740,0.0005715636241639993,107,468.0,489500.0,60.0,0.0
